zip,kitchen,type,subtype,price,bedrooms,living_area,terrace,terrace_area,landplot,facades,pool,building_state,city,province
4520,1,house,house,385000,7,350,1.0,30.0,1199.0,4.0,0.0,good,Wanze,Liège
4590,1,apartment,duplex,179000,2,105,1.0,15.0,nan,nan,0.0,good,Ouffet,Liège
4682,1,house,house,199000,4,130,0.0,nan,350.0,2.0,0.0,good,Oupeye,Liège
4682,1,house,house,149000,3,138,1.0,20.0,571.0,3.0,0.0,to renovate,Oupeye,Liège
4960,1,house,apartment block,299000,2,167,0.0,nan,95.0,2.0,0.0,good,Malmedy,Liège
5030,1,house,house,300000,4,148,1.0,10.0,280.0,2.0,0.0,to be done up,Gembloux,Namur
6760,0,apartment,apartment,285000,2,86,1.0,6.0,nan,nan,0.0,as new,Virton,Luxembourg
9000,1,apartment,apartment,349000,2,80,1.0,5.0,nan,2.0,0.0,good,Gent,Oost-Vlaanderen
9000,1,house,mansion,529000,3,200,0.0,nan,136.0,2.0,0.0,good,Gent,Oost-Vlaanderen
9000,1,apartment,penthouse,469000,3,115,1.0,12.0,nan,4.0,0.0,as new,Gent,Oost-Vlaanderen
9000,1,apartment,apartment,315000,2,88,1.0,6.0,nan,2.0,0.0,good,Gent,Oost-Vlaanderen
9000,1,apartment,apartment,290000,1,76,1.0,9.0,nan,2.0,0.0,good,Gent,Oost-Vlaanderen
9000,1,apartment,apartment,225000,1,60,0.0,nan,nan,2.0,0.0,good,Gent,Oost-Vlaanderen
9000,1,apartment,apartment,309000,2,90,1.0,nan,nan,2.0,0.0,good,Gent,Oost-Vlaanderen
9031,1,house,house,295000,3,143,1.0,nan,220.0,3.0,0.0,to renovate,Gent,Oost-Vlaanderen
9050,1,apartment,apartment,290000,1,76,1.0,9.0,nan,2.0,0.0,good,Gent,Oost-Vlaanderen
9230,1,house,bungalow,499000,3,198,1.0,nan,627.0,4.0,0.0,as new,Wetteren,Oost-Vlaanderen
9230,1,apartment,apartment,209900,2,102,0.0,nan,nan,3.0,0.0,as new,Wetteren,Oost-Vlaanderen
9300,1,house,mixed use building,295000,3,249,1.0,21.0,180.0,2.0,0.0,good,Aalst,Oost-Vlaanderen
9300,1,house,house,679000,5,370,1.0,nan,961.0,4.0,0.0,as new,Aalst,Oost-Vlaanderen
9300,1,house,house,159000,2,81,1.0,nan,120.0,2.0,0.0,to be done up,Aalst,Oost-Vlaanderen
9340,1,house,house,449000,2,145,1.0,nan,527.0,3.0,0.0,as new,Lede,Oost-Vlaanderen
9420,1,house,house,498000,4,205,1.0,nan,663.0,3.0,0.0,as new,Erpe-Mere,Oost-Vlaanderen
9500,1,house,house,237500,3,125,0.0,nan,58.0,2.0,0.0,just renovated,Geraardsbergen,Oost-Vlaanderen
9520,1,house,house,245000,3,230,1.0,35.0,154.0,2.0,0.0,to renovate,Sint-Lievens-Houtem,Oost-Vlaanderen
9600,1,house,house,289000,3,156,0.0,nan,555.0,3.0,0.0,good,Ronse,Oost-Vlaanderen
9930,1,house,house,495000,4,194,1.0,66.0,975.0,3.0,0.0,good,Lievegem,Oost-Vlaanderen
